entity,category,count,tf,idf,tfidf
Europe,adaptation,3,0.0094,1.3863,0.013037
Morocco,adaptation,3,0.0094,1.3863,0.013037
1972,adaptation,2,0.0063,1.3863,0.008692
2025,adaptation,4,0.0125,0.6931,0.008692
African,adaptation,2,0.0063,1.3863,0.008692
Amman,adaptation,4,0.0125,0.6931,0.008692
Egypt,adaptation,2,0.0063,1.3863,0.008692
Mafraq,adaptation,2,0.0063,1.3863,0.008692
Masdar City,adaptation,2,0.0063,1.3863,0.008692
Middle Eastern,adaptation,2,0.0063,1.3863,0.008692
Sahara,adaptation,2,0.0063,1.3863,0.008692
one,adaptation,2,0.0063,1.3863,0.008692
the Jordanian Ministry of Agriculture,adaptation,2,0.0063,1.3863,0.008692
FAO,adaptation,3,0.0094,0.6931,0.006519
Israel,adaptation,3,0.0094,0.6931,0.006519
World Bank,adaptation,3,0.0094,0.6931,0.006519
2024,adaptation,6,0.0188,0.2877,0.005411
40%,adaptation,5,0.0157,0.2877,0.004509
$1.8 billion,adaptation,1,0.0031,1.3863,0.004346
$1.8 trillion,adaptation,1,0.0031,1.3863,0.004346
$10 billion,adaptation,1,0.0031,1.3863,0.004346
$12 million,adaptation,1,0.0031,1.3863,0.004346
$19 billion,adaptation,1,0.0031,1.3863,0.004346
$2 billion,adaptation,1,0.0031,1.3863,0.004346
$2.5 billion,adaptation,1,0.0031,1.3863,0.004346
$28 million,adaptation,1,0.0031,1.3863,0.004346
$3.5 billion,adaptation,1,0.0031,1.3863,0.004346
$387 billion,adaptation,1,0.0031,1.3863,0.004346
$5.5 million,adaptation,1,0.0031,1.3863,0.004346
$7.1 trillion,adaptation,1,0.0031,1.3863,0.004346
$72 billion,adaptation,1,0.0031,1.3863,0.004346
$990 million,adaptation,1,0.0031,1.3863,0.004346
0.033,adaptation,1,0.0031,1.3863,0.004346
0.038,adaptation,1,0.0031,1.3863,0.004346
0.049,adaptation,1,0.0031,1.3863,0.004346
0.40,adaptation,1,0.0031,1.3863,0.004346
10 million cubic meters,adaptation,1,0.0031,1.3863,0.004346
10 to 18,adaptation,1,0.0031,1.3863,0.004346
"10,000",adaptation,1,0.0031,1.3863,0.004346
10-megawatt,adaptation,1,0.0031,1.3863,0.004346
100 million,adaptation,1,0.0031,1.3863,0.004346
100 million cubic meters,adaptation,1,0.0031,1.3863,0.004346
100 years,adaptation,1,0.0031,1.3863,0.004346
11,adaptation,1,0.0031,1.3863,0.004346
117 megawatts,adaptation,1,0.0031,1.3863,0.004346
"12,000",adaptation,1,0.0031,1.3863,0.004346
12.9-megawatt,adaptation,1,0.0031,1.3863,0.004346
"130,000",adaptation,1,0.0031,1.3863,0.004346
14 hours,adaptation,1,0.0031,1.3863,0.004346
"14,000 acres",adaptation,1,0.0031,1.3863,0.004346
15 to,adaptation,1,0.0031,1.3863,0.004346
15-30%,adaptation,1,0.0031,1.3863,0.004346
"2,245 megawatts",adaptation,1,0.0031,1.3863,0.004346
"2,400 megawatts",adaptation,1,0.0031,1.3863,0.004346
2.3 billion,adaptation,1,0.0031,1.3863,0.004346
20 degrees,adaptation,1,0.0031,1.3863,0.004346
20-megawatt,adaptation,1,0.0031,1.3863,0.004346
200,adaptation,1,0.0031,1.3863,0.004346
200 million cubic meters,adaptation,1,0.0031,1.3863,0.004346
200-megawatt,adaptation,1,0.0031,1.3863,0.004346
2007,adaptation,1,0.0031,1.3863,0.004346
2013,adaptation,1,0.0031,1.3863,0.004346
2017,adaptation,1,0.0031,1.3863,0.004346
2018,adaptation,1,0.0031,1.3863,0.004346
2021,adaptation,2,0.0063,0.6931,0.004346
2023-2040,adaptation,1,0.0031,1.3863,0.004346
2026,adaptation,1,0.0031,1.3863,0.004346
2027,adaptation,1,0.0031,1.3863,0.004346
2063,adaptation,1,0.0031,1.3863,0.004346
215,adaptation,1,0.0031,1.3863,0.004346
"25,000",adaptation,1,0.0031,1.3863,0.004346
250 million,adaptation,1,0.0031,1.3863,0.004346
28%,adaptation,1,0.0031,1.3863,0.004346
29%,adaptation,1,0.0031,1.3863,0.004346
3 to 8 degrees Celsius,adaptation,1,0.0031,1.3863,0.004346
"3,000",adaptation,1,0.0031,1.3863,0.004346
3-degree,adaptation,1,0.0031,1.3863,0.004346
3.2,adaptation,1,0.0031,1.3863,0.004346
30-50%,adaptation,1,0.0031,1.3863,0.004346
300 million cubic meters,adaptation,1,0.0031,1.3863,0.004346
"300,000",adaptation,1,0.0031,1.3863,0.004346
34,adaptation,1,0.0031,1.3863,0.004346
35 million,adaptation,1,0.0031,1.3863,0.004346
38,adaptation,1,0.0031,1.3863,0.004346
4 years,adaptation,1,0.0031,1.3863,0.004346
"4,000",adaptation,1,0.0031,1.3863,0.004346
400 million cubic meters,adaptation,1,0.0031,1.3863,0.004346
400-kilometer,adaptation,1,0.0031,1.3863,0.004346
400-meter,adaptation,1,0.0031,1.3863,0.004346
45,adaptation,1,0.0031,1.3863,0.004346
"5,000 megawatts",adaptation,1,0.0031,1.3863,0.004346
5-15%,adaptation,1,0.0031,1.3863,0.004346
"500-5,000",adaptation,1,0.0031,1.3863,0.004346
500-megawatt,adaptation,1,0.0031,1.3863,0.004346
52%,adaptation,1,0.0031,1.3863,0.004346
580 megawatts,adaptation,1,0.0031,1.3863,0.004346
6 million,adaptation,1,0.0031,1.3863,0.004346
"6,000",adaptation,1,0.0031,1.3863,0.004346
60%,adaptation,2,0.0063,0.6931,0.004346
"60,000",adaptation,1,0.0031,1.3863,0.004346
60-80%,adaptation,1,0.0031,1.3863,0.004346
600,adaptation,1,0.0031,1.3863,0.004346
600 tonnes,adaptation,1,0.0031,1.3863,0.004346
"600,000",adaptation,1,0.0031,1.3863,0.004346
"635,000 tonnes",adaptation,1,0.0031,1.3863,0.004346
"76,000",adaptation,1,0.0031,1.3863,0.004346
"760,000 tonnes",adaptation,1,0.0031,1.3863,0.004346
8 million cubic meters,adaptation,1,0.0031,1.3863,0.004346
"8,000 kilometers",adaptation,1,0.0031,1.3863,0.004346
800 megawatts,adaptation,1,0.0031,1.3863,0.004346
863 megawatts,adaptation,1,0.0031,1.3863,0.004346
89%,adaptation,1,0.0031,1.3863,0.004346
95%,adaptation,1,0.0031,1.3863,0.004346
98%,adaptation,1,0.0031,1.3863,0.004346
99.5%,adaptation,1,0.0031,1.3863,0.004346
AI,adaptation,1,0.0031,1.3863,0.004346
Abu Dhabi's,adaptation,1,0.0031,1.3863,0.004346
Adaptation Gap Report,adaptation,1,0.0031,1.3863,0.004346
Al Tafila,adaptation,1,0.0031,1.3863,0.004346
Aqaba,adaptation,1,0.0031,1.3863,0.004346
Azraq,adaptation,1,0.0031,1.3863,0.004346
Ban Ki-moon,adaptation,1,0.0031,1.3863,0.004346
Bill Gates,adaptation,1,0.0031,1.3863,0.004346
Climate Action Plan,adaptation,1,0.0031,1.3863,0.004346
Costa Rica,adaptation,1,0.0031,1.3863,0.004346
Costa Rica's,adaptation,1,0.0031,1.3863,0.004346
Dead Sea,adaptation,1,0.0031,1.3863,0.004346
Delta,adaptation,1,0.0031,1.3863,0.004346
Denmark,adaptation,1,0.0031,1.3863,0.004346
Disi,adaptation,1,0.0031,1.3863,0.004346
Disi Water Conveyance Project,adaptation,1,0.0031,1.3863,0.004346
Djibouti,adaptation,1,0.0031,1.3863,0.004346
GIZ,adaptation,1,0.0031,1.3863,0.004346
German,adaptation,1,0.0031,1.3863,0.004346
